n00001740	juristische Person
n00001930	physikalische Einheit
n00002137	Abstraktion, abstrakte Entität
n00002452	Ding
n00002684	Objekt, physisches Objekt
n00003553	die ganze Einheit
n00003993	Artgenossen
n00004258	lebendiges Ding, belebtes Ding
n00004475	Organismus, Wesen
n00005787	Benthos
n00005930	Zwerg
n00006024	heterotroph
n00006150	Elternteil
n00006269	Leben
n00006400	biont
n00006484	Zelle
n00007347	ursächlicher Agent, Ursache, ursächliche Agentur
n00007846	Person, Individuum, jemand, jemand, Sterblicher, Seele
n00015388	tier, beseeltes wesen, tier, brute, kreatur, Fauna
n00017222	Pflanze, Flora, Pflanzenwelt
n00019046	einheimisch
n00019128	Naturobjekt
n00019613	Substanz
n00020090	Substanz
n00020827	Gegenstand
n00021265	Nahrung, Nährstoffe
n00021734	Nährstoff
n00021939	Artefakt, Artefakt
n00022903	Artikel
n00023100	psychologische Eigenschaft
n00023271	Erkenntnis, Wissen, Noesis
n00023773	Motivation, Motiv, Bedürfnis
n00024264	Attribut
n00024720	Zustand
n00026192	Gefühl
n00027167	Lage
n00027807	Form, Form
n00028270	Zeit
n00028651	Raum, unendlich
n00029007	absoluter Raum
n00029114	Phasenraum
n00029378	Veranstaltung
n00029677	Prozess, physikalischer Prozess
n00030358	Handlung, Tat, menschliches Handeln, menschliche Aktivität
n00031264	Gruppe, Gruppierung
n00031921	Beziehung
n00032613	Besitz
n00032823	soziale Beziehung
n00033020	Kommunikation
n00033615	Maß, Menge, Menge
n00034213	Phänomen
n00034479	Ding
n00034574	Freundlichkeit, Güte
n00034777	Bauchdeckenstraffung, Bauchstraffung
n00034939	abbrechen
n00035189	Leistung, Leistung
n00035697	agon
n00035891	Entfremdung
n00036061	Anwendung
n00036299	Brückenkopf, Stützpunkt
n00036580	Spaziergang
n00036762	Leistung, Anstrengung, Ausbeutung
n00037006	Meisterstück
n00037090	Meisterstück
n00037200	Kredit
n00037396	Handlung
n00038175	res gestae
n00038262	Kurs, Vorgehensweise
n00038573	Sackgasse
n00038863	Kollisions-Kurs
n00039021	Interaktion
n00039211	Zusammenspiel
n00039297	Kontakt
n00039545	Bürste
n00039740	Blickkontakt
n00039916	bringen
n00039990	Platzierung
n00040152	Austausch, Gegenleistung, Geben und Nehmen
n00040420	Gegenseitigkeit
n00040545	gegenseitige Befruchtung, gegenseitige Befruchtung
n00040804	Umgang, Verkehr
n00040962	Beziehung
n00041188	spielen
n00041468	spielen, Schwertkampf
n00041614	boondoggle
n00041740	Bowling
n00041899	erwerben, bekommen
n00042311	verursachen, verursachen
n00042541	Geburt, Geburtshilfe
n00042757	Abfahrt, gehen, weggehen, gehen
n00043116	derring-do
n00043195	entdecken, finden, aufdecken
n00043609	entsorgung, disposition
n00043902	Schlag
n00044150	Umsetzung, Ausführung
n00044455	Austritt, Austritt, Austritt
n00044673	Ausgleich, Ausgleich, Nivellierung
n00044900	Exhumierung, Ausgrabung, Ausgraben
n00045114	Mizwa, Mizwa
n00045250	Antrieb, Betätigung
n00045646	Kundgebung, Kundgebung
n00045907	Wiederherstellung, Wiederherstellung
n00046177	Weg rennen
n00046344	Kunststück
n00046522	berühren, berühren
n00047018	Tour de Force
n00047106	Leistung
n00047356	Überleistung
n00047550	Unzureichende Leistung
n00047745	aufzeichnen, aufzeichnen
n00047941	vollendete Tatsachen, vollendete Tatsache
n00048051	gehen, rodeln
n00048225	ankommen, erreichen
n00048374	Ankunft
n00048656	Erreichung
n00048828	Advent, Kommen
n00049003	eintreten, eintreten, eintreten, eintreten, eintreten
n00049344	Einfall
n00049530	Einbruch
n00049636	Einbruch
n00049789	Hauptgericht
n00049909	mit sich bringen
n00050037	Anmeldung, Einschreibung, Einschreibung
n00050195	Aussehen
n00050484	Erscheinung
n00050693	Auftauchen, Auftauchen
n00050887	Wiederauftauchen, Rückkehr
n00051077	Komm zurück
n00051192	Rückkehr, Heimkehr
n00051385	Repatriierung
n00051525	Penetration
n00051712	Durchdringung, Durchdringung
n00051897	Marktdurchdringung
n00052052	Anchorage
n00052146	anlegen, festmachen, anlegen, festmachen
n00052334	Landung
n00052500	Landung
n00052791	Notlandung, Notlandung
n00053020	wegbrechen
n00053097	Abschied, Abschied, Abschied, Abschied
n00053405	Französischer Urlaub
n00053525	Abschied
n00053609	Verschwinden, Verschwinden
n00053806	verschwinden
n00053913	Rückzug
n00054328	Auslöschung, Selbstauslöschung
n00054483	Rückzug
n00054652	Ruhestand, Rückzug
n00054821	Evakuierung
n00055038	medizinische evakuierung, medevac, medivac
n00055227	Aufhebung
n00055315	Verlassenheit, Verlassenheit, Abfall
n00055633	Flucht, Aufbruch
n00055793	Abwesenheit ohne Urlaub, unerlaubte Abwesenheit
n00055932	Abweichung
n00056087	Auswanderung, Abwanderung, Auswanderung
n00056311	Einwanderung, Einwanderung
n00056551	aliyah
n00056688	zurückziehen
n00056912	Rückzug
n00057162	Stand-down, Stand-down
n00057306	Ausrasten, Fallback, Auszug
n00057486	Rückzug, Rezession
n00057657	Segeln
n00057748	amphibische Landung
n00058002	Ausschiffung, Ausschiffung, Ausschiffung
n00058247	an Land gehen
n00058337	Einschiffung, Einschiffung, Einschiffung
n00058519	Ausfahrt
n00058608	Entführung
n00058743	Flucht, Flucht
n00059127	Ausweichen
n00059376	ausrutschen, ausweichen, ausweichen
n00059552	Manöver, Manöver, Ausweichmanöver
n00059728	Clinch
n00059895	ausweichen
n00059989	brechen, ausbruch, jailbreak, gaolbreak, gefängnisausbruch, gefängnisausbruch
n00060201	Flucht, lam
n00060414	Exodus, Hegira, Hejira
n00060548	Hegira, Hejira
n00060747	türmen
n00060817	U-Bahn, U-Bahn
n00061014	knapper Anruf, kurze Rasur, Quietschen, Quietschen, enge Flucht
n00061171	Auftauchen
n00061290	Versand, Versand, Versand
n00061453	Rücksendung
n00061598	Vollendung
n00061792	Vollendung
n00061917	Verwirklichung, Verwirklichung, Erfüllung
n00062133	Orgasmus, Höhepunkt, sexueller Höhepunkt, Kommen
n00062331	männlicher Orgasmus
n00062451	Erfüllung, Erfüllung
n00062671	Selbstverwirklichung, Selbstverwirklichung, Selbstverwirklichung
n00062806	Erreichung
n00063014	aufzeichnen
n00063310	Streckenrekord
n00063559	Weltrekord
n00063652	Erfolg
n00064018	gewinnen
n00064151	blockbuster, megahit, smash hit
n00064370	Schläfer
n00064504	schlagen, zerschmettern, zertrümmern, schlagen, knallen
n00064789	Glöckchen, Volltreffer, Marke, Homerun
n00065098	Veredelung
n00065216	Eroberung
n00065336	Coup
n00065418	fliegende farben, fliegende farben
n00065575	bestehen, bestehen, qualifizieren
n00065855	Kredit, Kurskredit
n00066075	Semesterstunde, Kreditstunde
n00066216	Nichterfüllung, Nichterfüllung
n00066397	Versagen
n00066636	Versagen
n00066901	scheitern, durchfallen
n00067153	Nichts
n00067254	schneiden
n00067397	Ursprünglich
n00067526	Verlust
n00067707	Kapitulation, Sturz, Kapitulation
n00067990	frustration, vereiteln, vereiteln
n00068170	umkippen, verärgern
n00068333	Rückfall, Rückfall, Rückfall, Rückfall, Rückfall, Rückfall, Rückfall
n00068617	Rückfälligkeit
n00068755	Enttäuschung, Hoffnungslosigkeit
n00068901	Verstoß
n00069060	Drück dich
n00069173	Vertragsbruch
n00069444	vorausschauender Verstoß, konstruktiver Verstoß
n00069604	Pflichtverletzung
n00069685	Verletzung der Gewährleistungspflicht
n00069815	Versprechen brechen
n00069918	Vertrauensbruch
n00070077	Vertrauensbruch mit betrügerischer Absicht
n00070215	Garantieverletzung
n00070363	gelehnt
n00070462	wesentliche Verletzung
n00070641	motivierend, motivierend
n00070807	teilweiser Verstoß
n00070965	Fehler, Fehler, Fehler
n00071546	Doppelfehler
n00071700	Fußfehler
n00071864	Bommel
n00072068	Fehler, Fehlspiel
n00072261	beflecken, verschmieren, verschmieren, beflecken, beflecken
n00072473	Verwirrung, Verwechslung
n00072691	Einfall
n00072808	Fehleinschätzung, Fehleinschätzung, Fehleinschätzung
n00073032	Fehlzündung, Bumerang
n00073177	Rundung, Rundungsfehler
n00073525	Kürzungsfehler
n00073713	Verzerrung
n00073828	Ausrutscher, Ausrutscher, Fehlverhalten, Fehlverhalten
n00074092	Freudscher Ausrutscher
n00074324	abseits
n00074524	Versehen, Versäumnis
n00074624	auslassung, überspringen
n00074790	fehler, ausrutscher, blüter, pfusch, pratfall, faul, scheiße, flub, pfusch, boner, boo-boo
n00075283	snafu
n00075471	Schauspiel
n00075618	ballup, balls-up, cockup, durcheinander
n00075790	Stier
n00075912	fummel, muff
n00076072	Flaum
n00076196	Fauxpas, Ausrutscher, Solezismus, Ausrutscher, Gaucherie
n00076323	Heuler
n00076393	Kracher
n00076563	stolpern, stolpern, stolpern, Fehltritt
n00076884	verschütten, stürzen, fallen
n00077169	Pratfall
n00077249	auslöschen
n00077419	Erwerb
n00077856	Erlangung, Erlangung
n00077981	fangen, zusammenziehen
n00078217	anfallend
n00078393	Geld machen
n00078536	Annexion
n00078821	Schweinefass
n00079018	kaufen
n00079212	Rücknahme, Rückkauf, Rückkauf
n00079398	Handel
n00079603	Anleihenhandel, Anleihenhandelsaktivität
n00079752	Programmhandel
n00079908	Leerverkauf, Leerverkauf
n00080096	kurze Abdeckung
n00080242	Insiderhandel
n00080474	nackte Option
n00080619	abgedeckte Option
n00080743	Anrufoption, Anruf
n00080968	Put-Option, Put
n00081174	Grätschen
n00081395	Incentive-Option, Incentive-Aktienoption
n00081572	kaufen, kaufen
n00081836	Einkaufen
n00082081	Marketing
n00082223	Versandhandel, Katalogeinkauf
n00082347	viatication, viaticus
n00082525	Annahme
n00082754	Nachfolge, Übernahme
n00082870	Annahme, Anspruch erheben
n00083260	Annahme
n00083448	Position
n00083585	Erbe, Erbe
n00083729	Beschaffung, Beschaffung, Beschaffung
n00083975	Aneignung
n00084371	Ausleihe, Adoption
n00084642	Einbürgerung, Einbürgerung
n00084895	Veruntreuung
n00085041	Vorkauf, Vorkauf
n00085219	Krampfanfall
n00085432	widerrechtliche Übernahme
n00085678	Beschlagnahme, Arrogation
n00085829	Not, Verzweiflung
n00086140	Enteignung
n00086297	Beschlagnahme, Beschlagnahme, Internierung
n00086547	Drogen-Büste, Drogen-Büste
n00086654	beeindrucken, beeindrucken
n00086809	Beruf, Belegung, Einzug
n00087073	Besorgnis, Besorgnis
n00087218	Beschlagnahme, Anforderung
n00087423	Zuschuss, Subventionierung, Subventionierung
n00087663	Auszeichnung, Auszeichnung
n00087849	Sucht
n00088154	Blockförderung
n00088367	Zuschuss
n00088481	fangen, die Kontrolle erlangen, beschlagnahmen
n00088725	Festnahme, Festnahme, Fang, Halsband, Kneifen, Inhaftierung
n00089027	Eroberung, Eroberung, Unterwerfung, Unterwerfung
n00089234	Versklavung
n00089351	Restitution, Rückkehr, Wiederherstellung, Wiedererlangung
n00089657	Rückforderung
n00089891	Wiederinbesitznahme
n00090076	Zwangsvollstreckung
n00090253	Empfang, Empfang
n00090393	Termin
n00090610	auskämmen
n00090779	geben
n00091013	Aufgabe
n00091234	wegwerfen, wegwerfen
n00091404	Inszenierung
n00091503	verwerfen
n00091670	Grubenentsorgung
